purchase_month,Total_Orders,Late_Deliveries,Late_Delivery_Rate,Late_Delivery_Rate (%)
1,7819,487,0.06228417956260392,6.23
2,8208,1101,0.1341374269005848,13.41
3,9549,1638,0.17153628652214892,17.15
4,9101,542,0.059553895176354246,5.96
5,10294,684,0.06644647367398485,6.64
6,9231,204,0.022099447513812154,2.21
7,10028,409,0.04078579976067012,4.08
8,10544,799,0.07577769347496206,7.58
9,4151,217,0.05227655986509275,5.23
10,4743,240,0.05060088551549652,5.06
11,7288,1043,0.1431119648737651,14.31
12,5514,462,0.08378672470076169,8.38
