seller_state,Total_Orders,Late_Deliveries,Late_Delivery_Rate,Late_Delivery_Rate (%)
AM,3,2,0.6666666666666666,66.66666666666666
MA,388,90,0.23195876288659795,23.195876288659793
PA,8,1,0.125,12.5
RN,51,5,0.09803921568627451,9.803921568627452
CE,85,8,0.09411764705882353,9.411764705882353
SP,68415,6001,0.08771468245267851,8.771468245267851
MS,47,4,0.0851063829787234,8.51063829787234
RJ,4185,354,0.08458781362007169,8.45878136200717
ES,308,22,0.07142857142857142,7.142857142857142
PR,7429,485,0.06528469511374344,6.528469511374343
PB,33,2,0.06060606060606061,6.0606060606060606
SC,3551,215,0.06054632497887919,6.054632497887919
DF,803,48,0.05977584059775841,5.9775840597758405
BA,549,32,0.058287795992714025,5.828779599271402
MG,7647,431,0.05636197201516935,5.636197201516935
MT,134,6,0.04477611940298507,4.477611940298507
PE,403,18,0.04466501240694789,4.466501240694789
RS,1949,84,0.043099025141098,4.3099025141098
GO,451,18,0.03991130820399113,3.9911308203991127
PI,11,0,0.0,0.0
RO,13,0,0.0,0.0
SE,7,0,0.0,0.0
