year_month,total_items,unique_orders,total_revenue,total_freight
2016-09,3,1,134.97,8.49
2016-10,313,265,40325.11,6165.55
2016-12,1,1,10.9,8.72
2017-01,913,750,111798.36,15684.01
2017-02,1858,1653,234223.4,37015.92
2017-03,2897,2546,359198.85,55132.1
2017-04,2569,2303,340669.68,50142.72
2017-05,4003,3545,489159.25,77498.15
2017-06,3489,3135,421923.37,68127.0
2017-07,4416,3872,481604.52,84694.56
2017-08,4797,4193,554699.7,91132.66
2017-09,4737,4150,607399.67,93677.82
2017-10,5214,4478,648247.65,102869.36
2017-11,8474,7288,987648.0700000001,165581.3
2017-12,6187,5513,726033.1900000001,117045.1
2018-01,8037,7069,924645.0,153242.46
2018-02,7518,6555,826437.13,139731.28
2018-03,8017,7003,953356.25,167241.99
2018-04,7827,6798,973534.09,159344.84
2018-05,7810,6749,977544.6900000001,151229.83
2018-06,7007,6096,855591.97,155856.99
2018-07,6960,6156,867486.47,159800.05
2018-08,7142,6351,838576.64,146915.0
